event_id,event_name,show_id,show_start,show_end,ticketed,base_price
1016648,Cool Classics: The American Century (by Yong Siew Toh Conservatory of Music),2046346,2016-03-17 18:15,2016-03-17 19:15,N,NULL
1016645,Spectrum 2016: London Sinfonietta with Steve Reich,2046559,2016-03-17 22:29,2016-03-17 23:01,N,NULL
1016645,Spectrum 2016: London Sinfonietta with Steve Reich,2046538,2016-03-17 22:07,2016-03-17 22:26,N,NULL
1016645,Spectrum 2016: London Sinfonietta with Steve Reich,2046342,2016-03-17 20:45,2016-03-17 21:45,N,NULL
1016644,ATC 2016: Cool Classics - Orchestra Collective (Brass Quintet),2046339,2016-03-16 19:15,2016-03-16 19:45,N,NULL
1016644,ATC 2016: Cool Classics - Orchestra Collective (Brass Quintet),2046340,2016-03-16 20:15,2016-03-16 20:45,N,NULL
1016642,Innovation by Design Conference,2046331,2016-03-15 11:00,2016-03-15 16:00,N,NULL
1016642,Innovation by Design Conference,2046329,2016-03-15 09:30,2016-03-15 12:00,N,NULL
1016642,Innovation by Design Conference,2046337,2016-03-16 13:30,2016-03-16 16:00,N,NULL
1016642,Innovation by Design Conference,2046336,2016-03-16 09:30,2016-03-16 12:00,N,NULL
1016642,Innovation by Design Conference,2046338,2016-03-16 11:00,2016-03-16 16:00,N,NULL
1016642,Innovation by Design Conference,2046330,2016-03-15 13:30,2016-03-15 16:00,N,NULL
1016641,A Musical Journey - A Journey for the Young II,2046326,2016-03-15 18:00,2016-03-15 19:00,N,NULL
1016640,ATC 2016: Auriga Quintet,2046333,2016-03-15 20:15,2016-03-15 20:45,N,NULL
1016640,ATC 2016: Auriga Quintet,2046332,2016-03-15 19:15,2016-03-15 19:45,N,NULL
1016640,ATC 2016: Auriga Quintet,2046323,2016-03-14 19:15,2016-03-14 19:45,N,NULL
1016640,ATC 2016: Auriga Quintet,2046324,2016-03-14 20:15,2016-03-14 20:45,N,NULL
1016638,ATC 2016: Pianomania!!!,2046319,2016-03-13 19:15,2016-03-13 19:45,N,NULL
1016638,ATC 2016: Pianomania!!!,2046317,2016-03-13 17:15,2016-03-13 17:45,N,NULL
1016638,ATC 2016: Pianomania!!!,2046318,2016-03-13 18:15,2016-03-13 18:45,N,NULL
1016637,Study in New Zealand,2046316,2016-03-13 14:30,2016-03-13 17:30,N,NULL
1016636,Eleganza 2016 (NTU Cultural Activities Club Piano Ensemble),2046315,2016-03-13 20:45,2016-03-13 21:45,N,NULL
1016634,TPCC Presents - The Silent Realm in Majesty,2046312,2016-03-13 17:55,2016-03-13 18:30,N,NULL
1016633,Phoenix,2046294,2016-03-12 20:40,2016-03-12 21:30,N,NULL
1016632,ATC 2016: More Than Music: Abigail Sin and Loh Jun Hong,2046287,2016-03-12 17:15,2016-03-12 17:45,N,NULL
1016632,ATC 2016: More Than Music: Abigail Sin and Loh Jun Hong,2046289,2016-03-12 19:15,2016-03-12 19:45,N,NULL
1016632,ATC 2016: More Than Music: Abigail Sin and Loh Jun Hong,2046288,2016-03-12 18:15,2016-03-12 18:45,N,NULL
1016631,AIMS Course 4 Modules,2046286,2016-03-10 19:00,2016-03-10 22:00,N,NULL
1016629,Nan Hua High School Annual Run- Holding Area,2046260,2016-03-11 07:30,2016-03-11 07:55,N,NULL
1016628,Soundscape 2016,2046255,2016-03-11 20:30,2016-03-11 21:30,N,NULL
1016626,ATC 2016: A Flutey Affair,2046257,2016-03-11 20:15,2016-03-11 20:45,N,NULL
1016626,ATC 2016: A Flutey Affair,2046256,2016-03-11 19:15,2016-03-11 19:45,N,NULL
1016626,ATC 2016: A Flutey Affair,2046242,2016-03-10 20:15,2016-03-10 20:45,N,NULL
1016626,ATC 2016: A Flutey Affair,2046241,2016-03-10 19:15,2016-03-10 19:45,N,NULL
1016625,SSO VCH Mar 2016 - Lunchtime Concert,2046240,2016-03-10 12:30,2016-03-10 13:30,N,NULL
1016624,Don Quixote,2046270,2016-03-12 21:20,2016-03-12 21:50,N,NULL
1016624,Don Quixote,2046268,2016-03-12 15:05,2016-03-12 15:45,N,NULL
1016624,Don Quixote,2046296,2016-03-13 14:20,2016-03-13 14:50,N,NULL
1016624,Don Quixote,2046267,2016-03-12 14:20,2016-03-12 14:50,N,NULL
1016624,Don Quixote,2046300,2016-03-13 21:05,2016-03-13 21:45,N,NULL
1016624,Don Quixote,2046244,2016-03-11 21:20,2016-03-11 21:50,N,NULL
1016624,Don Quixote,2046271,2016-03-12 22:05,2016-03-12 22:45,N,NULL
